[2024-06-05 20:39:14,747: INFO: stage_04_model_eveluation_mlflow: >>>>>> stage Evaluation stage completed <<<<<<

x==========x]
[2024-06-05 20:46:42,818: INFO: stage_02_prepare_base_model: *******************]
[2024-06-05 20:46:42,818: INFO: stage_02_prepare_base_model: >>>>>> stage Prepare base model started <<<<<<]
[2024-06-05 20:46:42,818: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:46:42,830: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:46:42,831: INFO: common: created directory at: artifacts]
[2024-06-05 20:46:42,831: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-05 20:46:43,726: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-05 20:46:44,154: INFO: stage_02_prepare_base_model: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-06-05 20:46:56,849: INFO: stage_03_model_training: *******************]
[2024-06-05 20:46:56,849: INFO: stage_03_model_training: >>>>>> stage Training started <<<<<<]
[2024-06-05 20:46:56,849: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 20:46:56,849: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 20:46:56,849: INFO: common: created directory at: artifacts]
[2024-06-05 20:46:56,849: INFO: common: created directory at: artifacts\training]
[2024-06-05 21:55:08,198: INFO: stage_03_model_training: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-06-05 21:55:24,949: INFO: stage_04_model_eveluation_mlflow: *******************]
[2024-06-05 21:55:24,949: INFO: stage_04_model_eveluation_mlflow: >>>>>> stage Evaluation stage started <<<<<<]
[2024-06-05 21:55:24,949: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-05 21:55:24,949: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-05 21:55:24,949: INFO: common: created directory at: artifacts]
[2024-06-05 21:59:40,820: INFO: common: json file saved at: scores.json]
